Population at the beginning of the period across the territory of the Republic of Belarus
persons
        Malorita district;0 to 4 years of age;1248
        Malorita district;By all age;22213
        Malorita district;5 to 9 years of age;1471
        Malorita district;10 to 14 years of age;1522
        Malorita district;15 to 19 years of age;1049
        Malorita district;20 to 24 years of age;1117
        Malorita district;25 to 29 years of age;1051
        Malorita district;30 to 34 years of age;1211
        Malorita district;35 to 39 years of age;1469
        Malorita district;40 to 44 years of age;1539
        Malorita district;45 to 49 years of age;1499
        Malorita district;50 to 54 years of age;1506
        Malorita district;55 to 59 years of age;1618
        Malorita district;60 to 64 years of age;1722
        Malorita district;65 to 69 years of age;1595
        Malorita district;70 to 74 years of age;1054
        Malorita district;75 to 79 years of age;642
        Malorita district;80 and over;900
        Pinsk district;0 to 4 years of age;1858
        Pinsk district;By all age;40229
        Pinsk district;5 to 9 years of age;2391
        Pinsk district;10 to 14 years of age;2597
        Pinsk district;15 to 19 years of age;1900
        Pinsk district;20 to 24 years of age;2023
        Pinsk district;25 to 29 years of age;1410
        Pinsk district;30 to 34 years of age;1703
        Pinsk district;35 to 39 years of age;2320
        Pinsk district;40 to 44 years of age;2651
        Pinsk district;45 to 49 years of age;2898
        Pinsk district;50 to 54 years of age;2951
        Pinsk district;55 to 59 years of age;2869
        Pinsk district;60 to 64 years of age;3287
        Pinsk district;65 to 69 years of age;3214
        Pinsk district;70 to 74 years of age;2369
        Pinsk district;75 to 79 years of age;1648
        Pinsk district;80 and over;2140
        Pruzhany district;0 to 4 years of age;1793
        Pruzhany district;By all age;40571
        Pruzhany district;5 to 9 years of age;2269
        Pruzhany district;10 to 14 years of age;2510
        Pruzhany district;15 to 19 years of age;1801
        Pruzhany district;20 to 24 years of age;1858
        Pruzhany district;25 to 29 years of age;1501
        Pruzhany district;30 to 34 years of age;1896
        Pruzhany district;35 to 39 years of age;2555
        Pruzhany district;40 to 44 years of age;2673
        Pruzhany district;45 to 49 years of age;2769
        Pruzhany district;50 to 54 years of age;2970
        Pruzhany district;55 to 59 years of age;3247
        Pruzhany district;60 to 64 years of age;3560
        Pruzhany district;65 to 69 years of age;3408
        Pruzhany district;70 to 74 years of age;2315
        Pruzhany district;75 to 79 years of age;1477
        Pruzhany district;80 and over;1969
        Stolin district;0 to 4 years of age;4278
        Stolin district;By all age;67763
        Stolin district;5 to 9 years of age;4731
        Stolin district;10 to 14 years of age;4837
        Stolin district;15 to 19 years of age;3762
        Stolin district;20 to 24 years of age;4276
        Stolin district;25 to 29 years of age;3428
        Stolin district;30 to 34 years of age;3294
        Stolin district;35 to 39 years of age;3977
        Stolin district;40 to 44 years of age;4490
