id,name,name_ru,name_be,name_en,name_latin,place,adm0_name,adm1_pcode,adm1_name,adm2_pcode,adm2_name,geometry,settlement_key
node/243031741,Лагі,Логи,Лагі,,Lagi,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.37271 54.5252528),Логи
node/243032032,Астроўкі,Островки,Астроўкі,,Astrouki,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.34139 54.52618),Островки
node/243031749,Абчуга,Обчуга,Абчуга,,Abchuga,village,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.358738 54.497437),Обчуга
node/243031737,Кіявец,Киевец,Кіявец,,Kiiavets,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.33024 54.49485),Киевец
node/243031754,Шкорнеўка,Шкорневка,Шкорнеўка,,Shkorneuka,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.3860254 54.4377642),Шкорневка
node/243031781,Луцішча,Лутище,Луцішча,,Lutsishcha,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.35667 54.45107),Лутище
node/243031678,Смародзінка,Смородинка,Смародзінка,,Smarodzinka,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.35762 54.43708),Смородинка
node/243031765,Шарпілаўка,Шарпиловка,Шарпілаўка,,Sharpilauka,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.3373385 54.4693731),Шарпиловка
node/243031723,Шарнева,Шарнево,Шарнева,,Sharneva,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.3022825 54.4778583),Шарнево
node/243031657,Слабада,Слобода,Слабада,Slabada,Slabada,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.3182614 54.4503332),Слобода
node/243031668,Журавы,Журавы,Журавы,,Zhuravy,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.3134173 54.4571562),Журавы
node/243031683,Прудзіны,Прудины,Прудзіны,,Prudziny,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.3177559 54.4270148),Прудины
node/243027485,Ліпавец,Липовец,Ліпавец,,Lipavets,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.2606473 54.4027794),Липовец
