X,Y,fid,id,name,name_ru,name_be,name_en,name_latin,place,adm0_name,adm1_pcode,adm1_name,adm2_pcode,adm2_name,settlement_key
5663921.86734973,3625234.51018155,20786,node/243045991,Сласцёны,Сластёны,Сласцёны,,Slastsiony,village,Belarus,BY006,Mogilev,BY006004,Chausy,Сластены
5663636.87322436,3627448.92105426,20787,node/243045997,Селішча,Селище,Селішча,,Selishcha,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Селище
5665454.88247701,3625134.79803934,20788,node/243045887,Хількавічы,Хильковичи,Хількавічы,,Khil'kavichy,hamlet,Belarus,BY006,Mogilev,BY006004,Chausy,Хильковичи
5669746.40114801,3623996.67246035,20789,node/243046003,Старасёлы,Старосёлы,Старасёлы,,Starasioly,hamlet,Belarus,BY006,Mogilev,BY006004,Chausy,Староселы
5667065.44522175,3626710.72944411,20791,node/243045885,Хонькавічы,Хоньковичи,Хонькавічы,,Khon'kavichy,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Хоньковичи
5670214.96809913,3628323.2259348,20792,node/1665540480,Жакаўка,Жаковка,Жакаўка,,Zhakauka,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Жаковка
5671453.53992805,3623083.77746705,20795,node/243046498,Паўлаўка,Павловка,Паўлаўка,,Paulauka,hamlet,Belarus,BY006,Mogilev,BY006004,Chausy,Павловка
5668050.98757592,3622947.15091317,20796,node/243045891,Варварына,Варварино,Варварына,,Varvaryna,hamlet,Belarus,BY006,Mogilev,BY006004,Chausy,Варварино
5668650.41511691,3622308.24882467,20797,node/243045881,Бардзілы,Бардилы,Бардзілы,,Bardzily,hamlet,Belarus,BY006,Mogilev,BY006004,Chausy,Бардилы
5669512.12989322,3621809.78463837,20798,node/243045879,Бракава Слабада,Бракова Слобода,Бракава Слабада,,Brakava Slabada,hamlet,Belarus,BY006,Mogilev,BY006004,Chausy,Бракова Слобода
5675636.96602758,3622942.06190631,20801,node/243046492,Чарнаўцы,Чернавцы,Чарнаўцы,,Charnautsy,hamlet,Belarus,BY006,Mogilev,BY006004,Chausy,Чернавцы
5677854.93160504,3621255.69253008,20802,node/243046491,Гарадзец,Городец,Гарадзец,,Garadzets,hamlet,Belarus,BY006,Mogilev,BY006004,Chausy,Городец
5678870.48744652,3623711.11148633,20803,node/243046441,Гіраўцы,Гиревцы,Гіраўцы,,Girautsy,hamlet,Belarus,BY006,Mogilev,BY006004,Chausy,Гиревцы
5682599.22149608,3625430.28637608,20806,node/243044703,Чыжы,Чижи,Чыжы,,Chyzhy,hamlet,Belarus,BY006,Mogilev,BY006004,Chausy,Чижи
5683560.41731379,3625582.29067988,20807,node/2921409657,Сялец,Селец,Сялец,Syalyets,Syalyets,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Селец
5674788.82954361,3631542.02416428,20817,node/243046464,Суслаўка,Сусловка,Суслаўка,,Suslauka,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Сусловка
5678017.38852684,3633436.56075531,20818,node/243046526,Заложжа,Заложье,Заложжа,,Zalozhzha,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Заложье
5675947.84872346,3634337.53468943,20820,node/243046467,Засценкі,Застенки,Засценкі,,Zastsenki,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Застенки
5677388.92582406,3638107.79222039,20821,node/243046529,Галавічы,Головичи,Галавічы,,Galavichy,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Головичи
5675859.42542688,3640013.19315081,20824,node/243046527,Пералогі,Перелоги,Пералогі,,Peralogi,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Перелоги
5673883.48927667,3640468.41481661,20825,node/243046520,Сласцёны,Сластёны,Сласцёны,,Slastsiony,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Сластены
5672132.23259172,3640810.41084077,20826,node/243046531,Губіна,Губино,Губіна,,Gubina,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Губино
5671041.13604669,3639776.30731812,20827,node/243046521,Бальшыя Барадзенкі,Большие Бороденки,Бальшыя Барадзенкі,,Bal'shyia Baradzenki,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Большие Бороденки
5669459.22515932,3640694.21890852,20830,node/243046532,Бір,Бирь,Бір,,Bir,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Бирь
5667188.92053208,3637242.23325887,20831,node/243046522,Жавань,Жевань,Жавань,,Zhavan',hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Жевань
5670137.20783451,3632228.28035,20833,node/243046469,Шчокатаўская Слабодка,Щёкотовская Слободка,Шчокатаўская Слабодка,,Shchokatauskaia Slabodka,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Щекотовская Слободка
5669816.31338382,3630305.85600889,20834,node/243046466,Лукаць,Лукоть,Лукаць,,Lukats',hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Лукоть
5665970.63168209,3629998.83721,20835,node/243045884,Шастакі,Шестаки,Шастакі,,Shastaki,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Шестаки
5667062.71771631,3632529.02622982,20836,node/243046002,Хасеўка,Хасевка,Хасеўка,,Khaseuka,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Хасевка
5664748.89176833,3630451.67502013,20837,node/243045995,Слабодка,Слободка,Слабодка,Slabodka,Slabodka,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Слободка
5660626.41705386,3630372.58288268,20838,node/243045886,Мілаўё,Миловьё,Мілаўё,,Milauio,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Миловье
5658638.62419478,3634278.32524515,20839,node/243045978,Алюты,Алюты,Алюты,,Aliuty,hamlet,Belarus,BY006,Mogilev,BY006020,Shklov,Алюты
5662336.84480661,3633743.50301012,20840,node/243045984,Палуі,Полуи,Палуі,,Palui,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Полуи
5663861.16911543,3633655.60178564,20841,node/243046001,Кароўчына,Коровчино,Кароўчына,,Karouchyna,village,Belarus,BY006,Mogilev,BY006006,Dribin,Коровчино
5662401.84424736,3636136.95406357,20842,node/243045975,Сонечная,Солнечная,Сонечная,,Sonechnaia,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Солнечная
5663090.47289583,3636528.87592513,20843,node/243045977,Юраўка,Юровка,Юраўка,,Iurauka,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Юровка
