,facility_title,link,settlement,facility_type,facility_type_eng,address,website
3070,Первомайская участковая больница с амбулаторией врача общей медицинской практики,https://healthcare.by/instinfo.php?orgnum=14032,Первомайск,Больница,Hospital,"ул. Зеленая, 4, 231544, д. Первомайск, Щучинский р-н, Гродненская обл.",
3071,Першайская больница сестринского ухода,https://healthcare.by/instinfo.php?orgnum=26772,Першай,Больница,Hospital,"ул. Дунина-Мартинкевича, 27, д. Першай, Воложинский р-н, Минская обл.",
3072,Петриковская ЦРБ,https://healthcare.by/instinfo.php?orgnum=5188,Петриков,Больница,Hospital,"ул. Луначарского, 5, 247912, г. Петриков, Гомельская обл.",http://petrikovcrb.by
3073,Пинская детская больница,https://healthcare.by/instinfo.php?orgnum=3491,Пинск,Больница,Hospital,"ул. Центральная, 11, 225710, г. Пинск, Брестская обл.",
3074,Пинская центральная больница,https://healthcare.by/instinfo.php?orgnum=3424,Пинск,Больница,Hospital,"ул. Первомайская, 191, 225710, г. Пинск, Брестская обл.",
3075,Пиревичская сельская участковая больница,https://healthcare.by/instinfo.php?orgnum=10579,Пиревичи,Больница,Hospital,"ул. Ленинская, 2, 247242, д. Пиревичи, Жлобинский р-н, Гомельская обл.",
3076,Плещеницкая городская больница,https://healthcare.by/instinfo.php?orgnum=6332,Плещеницы,Больница,Hospital,"пер. Лесной, 1, 223130, г.п. Плещеницы, Логойский р-н, Минская обл.",
3077,Плотницкая амбулатория врача общей практики,https://healthcare.by/instinfo.php?orgnum=11976,Плотница,Амбулатория,Outpatient Clinic,"ул. Пинская, 18, 225513, д. Плотница, Столинский р-н, Брестская обл.",
3078,Погост-Загородская участковая больница,https://healthcare.by/instinfo.php?orgnum=11872,Погост-Загородский,Больница,Hospital,"ул. Первомайская, 10, 225734, д. Погост-Загородск, Пинский р-н, Брестская обл.",
3079,Погостская врачебная амбулатория,https://healthcare.by/instinfo.php?orgnum=13634,Погост,Амбулатория,Outpatient Clinic,"ул. Первомайская, 1г, 223715, д. Погост, Солигорский р-н, Минская обл.",
3080,Подгорновская больница сестринского ухода,https://healthcare.by/instinfo.php?orgnum=12962,Подгорная,Больница,Hospital,"дом 216в, 225357, д. Подгорная, Барановичский р-н, Брестская обл.",
3081,Подсвильская районная больница,https://healthcare.by/instinfo.php?orgnum=4012,Подсвилье,Больница,Hospital,"пер. Советский, 4, 211827, г.п. Подсвилье, Глубокский р-н, Витебская обл.",
3082,Положевичская больница сестринского ухода,https://healthcare.by/instinfo.php?orgnum=6603,Положевичи,Больница,Hospital,"ул. Социалистическая, 5, 222913, аг. Положевичи, Стародорожский р-н, Минская обл.",
3083,Полотовская больница сестринского ухода,https://healthcare.by/instinfo.php?orgnum=4300,Полота,Больница,Hospital,"ул. Центральная, 23, 211429, д. Полота, Полоцкий р-н, Витебская обл.",http://polmed.by/ru/podrazdeleniya/bolnitsy-sestrinskogo-ukhoda/otdeleniya/polotovskaya-bolnitsa-sestrinskogo-ukhoda
3084,Полоцкая городская больница № 1,https://healthcare.by/instinfo.php?orgnum=516,Полоцк,Больница,Hospital,"ул. Гагарина, 241, 211400, г. Полоцк, Витебская обл.",http://polmed.by/ru/
3085,Полоцкая областная психиатрическая больница,https://healthcare.by/instinfo.php?orgnum=3688,Полоцк,Больница,Hospital,"ул. 23-х Гвардейцев, 4а, 211402, г. Полоцк, Витебская обл.",http://popb.by
3086,Полоцкая центральная городская больница,https://healthcare.by/instinfo.php?orgnum=14111,Полоцк,Больница,Hospital,"пр-т Ф. Скорины, 6, 211400, г. Полоцк, Витебская обл.",http://polmed.by
3087,Поречская АВОП,https://healthcare.by/instinfo.php?orgnum=5185,Поречье,Амбулатория,Outpatient Clinic,"ул. Советская, 45, 247308, д. Поречье, Октябрьский р-н, Гомельская обл.",
3088,Поречская больница сестринского ухода,https://healthcare.by/instinfo.php?orgnum=22319,Поречье,Больница,Hospital,"ул. Центральная, 217, 225755, д. Поречье, Пинский р-н, Брестская обл.",
3089,Поставская ЦРБ,https://healthcare.by/instinfo.php?orgnum=4308,Поставы,Больница,Hospital,"ул. Советская, 73, 211875, г. Поставы, Витебская обл.",http://postcrb.by
3090,Правдинская городская больница,https://healthcare.by/instinfo.php?orgnum=6489,Правдинский,Больница,Hospital,"222839, г.п. Правдинский, Пуховичский р-н, Минская обл.",
3091,Прибытковская УБ,https://healthcare.by/instinfo.php?orgnum=4942,Прибытки,Больница,Hospital,"ул. Ленина, 238, 247042, д. Прибытки, Гомельский р-н, Гомельская обл.",
3092,Прозорокская врачебная амбулатория общей практики,https://healthcare.by/instinfo.php?orgnum=11310,Прозороки,Амбулатория,Outpatient Clinic,"211817, д. Прозороки, Глубокский р-н, Витебская обл.",
3093,Пружанская ЦРБ,https://healthcare.by/instinfo.php?orgnum=3548,Пружаны,Больница,Hospital,"ул. Мицкевича, 27, 224145, г. Пружаны, Брестская обл.",http://prcrb.by
3094,Пудовнянская амбулатория врача общей практики,https://healthcare.by/instinfo.php?orgnum=13603,Пудовня,Амбулатория,Outpatient Clinic,"ул. Березинская, 13, п. Пудовня, Дрибинский р-н, Могилевская обл.",
3095,"Пышнянская больница сестринского ухода, больница",https://healthcare.by/instinfo.php?orgnum=21333,Пышно,Больница,Hospital,"211199, д. Пышно, Лепельский р-н, Витебская обл.",
3096,Радостовская участковая больница,https://healthcare.by/instinfo.php?orgnum=17741,Гаравица,Больница,Hospital,"ул. Восточная, 8, 225844, д. Радостов, Дрогичинский р-н, Брестская обл.",
3097,Радошковичская больница,https://healthcare.by/instinfo.php?orgnum=6433,Радошковичи,Больница,Hospital,"ул. Восточная, 18, 222322, г.п. Радошковичи, Молодеченский р-н, Минская обл.",
3098,Радунская участковая больница,https://healthcare.by/instinfo.php?orgnum=5658,Радунь,Больница,Hospital,"ул. Советская, 106, 231390, г.п. Радунь, Вороновский р-н, Гродненская обл.",
3099,Раковская участковая больница,https://healthcare.by/instinfo.php?orgnum=13767,Раков,Больница,Hospital,"ул. Парковая, 35, д. Раков, Воложинский р-н, Минская обл.",
3100,Редко-Рожская амбулатория врача общей практики,https://healthcare.by/instinfo.php?orgnum=7146,Редкий Рог,Амбулатория,Outpatient Clinic,"ул. 60 лет БССР, 213834, п. Редкий Рог, Бобруйский р-н, Могилевская обл.",
3101,Редковичск ФАП,https://healthcare.by/instinfo.php?orgnum=11440,Редковичи,ФАП,FAP,"ул. Советская, 75, 223836, д. Редковичи, Любанский р-н, Минская обл.",
3102,"Республиканская больница спелеолечения, больница",https://healthcare.by/instinfo.php?orgnum=9911,Солигорск,Больница,Hospital,"проезд Лесной, 3, 223710, г. Солигорск, Минская обл.",http://www.speleo.by
3103,Республиканская детская больница медицинской реабилитации,https://healthcare.by/instinfo.php?orgnum=688,Острошицкий Городок,Больница,Hospital,"пер. Трудовой, 1А, 223054, агр. Острошицкий Городок, Минский р-н, Минская обл.",http://rdbmr.by
3104,"Республиканская клиническая больница медицинской реабилитации, больница",https://healthcare.by/instinfo.php?orgnum=163,Аксаковщина,Больница,Hospital,"ул. Речная, 1, 223032, п. Аксаковщина, Минский р-н, Минская обл.",http://aksakovschina.by
3105,Республиканская психиатрическая больница «Гайтюнишки»,https://healthcare.by/instinfo.php?orgnum=860,Гайтюнишки,Больница,Hospital,"231383, д. Гайтюнишки, Вороновский р-н, Гродненская обл.",http://zamok.grodno.by
3106,Республиканская туберкулезная больница «Новоельня»,https://healthcare.by/instinfo.php?orgnum=686,Новоельня,Больница,Hospital,"ул. Дятловская, 17, 231470, г.п. Новоельня, Дятловский р-н, Гродненская обл.",http://rtbnov.by
3107,Республиканская туберкулезная больница «Сосновка»,https://healthcare.by/instinfo.php?orgnum=703,Сосновка,Больница,Hospital,"ул. Кольцевая, д. 27А, 211233, д. Сосновка, Витебский р-н, Витебская обл.",http://sosnovka.by
3108,Реченская амбулатория,https://healthcare.by/instinfo.php?orgnum=11435,Речень,Амбулатория,Outpatient Clinic,"ул. Садовая, 103, 223836, д. Речень, Любанский р-н, Минская обл.",
3109,Речицкая ЦРБ,https://healthcare.by/instinfo.php?orgnum=5205,Речица,Больница,Hospital,"ул. Трифонова, 117, 247500, г. Речица, Гомельская обл.",http://med.rechitsa.by
3110,Рованичская участковая больница,https://healthcare.by/instinfo.php?orgnum=6654,Рованичи,Больница,Hospital,"ул. Советская, д. 25, 223223, аг. Рованичи, Червенский р-н, Минская обл.",
3111,Рогачевская ЦРБ,https://healthcare.by/instinfo.php?orgnum=5247,Рогачев,Больница,Hospital,"ул. Дзержинского, 17, 247673, г. Рогачев, Гомельская обл.",http://rogachevcrb.by
3112,"Росская горпоселковая поликлиника, УЗ",https://healthcare.by/instinfo.php?orgnum=5637,Россь,Поликлиника,Polyclinic,"ул. Солнечная, 2а, 231912, г.п. Россь, Волковысский р-н, Гродненская обл.",
3113,Россонская ЦРБ,https://healthcare.by/instinfo.php?orgnum=4330,Россоны,Больница,Hospital,"ул. Комсомольская, 19, 211471, г. Россоны, Витебская обл.",http://rcrb.by
3114,"Рубежевичская участковая больница, больница",https://healthcare.by/instinfo.php?orgnum=36014,Новые Рубежевичи,Больница,Hospital,"ул. Молодежная, 12, д. Новые Рубежевичи, Столбцовский р-н, Минская обл.",http://https//scrb.by/o-bolnitse/struktura/selskie-lechebno-profilakticheskie-uchrejdeniya
3115,Рубежевичская участковая больница,https://healthcare.by/instinfo.php?orgnum=11458,Рубежевичи,Больница,Hospital,"ул. Центральная, 40, 222663, аг. Рочевичи, Столбцовский р-н, Минская обл.",
3116,Рубельская амбулатория врача общей практики,https://healthcare.by/instinfo.php?orgnum=11977,Рубель,Амбулатория,Outpatient Clinic,"ул. Комсомольская, 1, 225533, д. Рубель, Столинский р-н, Брестская обл.",
3117,Руденская амбулатория,https://healthcare.by/instinfo.php?orgnum=6490,Руденск,Амбулатория,Outpatient Clinic,"ул. Покровского, 17, 222850, г.п. Руденск, Пуховичский р-н, Минская обл.",http://https//mgorka-crb.by/
