,facility_title,link,settlement,facility_type,facility_type_eng,address,website
1207,Новоселковский ФАП,https://healthcare.by/instinfo.php?orgnum=16490,Квасовка,ФАП,FAP,"Новоселки, 31а, д. Квасовка, Гродненский р-н, Гродненская обл.",
1208,Новоселковский ФАП,https://healthcare.by/instinfo.php?orgnum=17016,Новоселки,ФАП,FAP,"ул. Центральная, 79а, 222920, аг. Новоселки, Стародорожский р-н, Минская обл.",
1209,Новоселковский ФАП,https://healthcare.by/instinfo.php?orgnum=15888,Новоселки,ФАП,FAP,"ул. Молодежная, 23, 247740, д. Новоселки, Калинковичский р-н, Гомельская обл.",
1210,Новоселковский ФАП,https://healthcare.by/instinfo.php?orgnum=15687,Новоселки,ФАП,FAP,"247128, ул. Октябрьская, 23, д. Новоселки, Ветковский р-н, Гомельская обл.",
1211,Новоселковский ФАП,https://healthcare.by/instinfo.php?orgnum=15562,Новоселки,ФАП,FAP,"д. Новоселки, Копыльский р-н, Минская обл.",
1212,Новоселковский ФАП,https://healthcare.by/instinfo.php?orgnum=17043,Новоселки,ФАП,FAP,"д. Новоселки, Слонимский р-н, Гродненская обл.",
1213,Новоселковский ФАП,https://healthcare.by/instinfo.php?orgnum=15137,Новоселки,ФАП,FAP,"д. Новоселки, Пуховичский р-н, Минская обл.",
1214,Новоселковский ФАП,https://healthcare.by/instinfo.php?orgnum=22910,Новоселки,ФАП,FAP,"ул. Центральная, 5, 225386, д. Новоселки, Ляховичский р-н, Брестская обл.",
1215,Новоселковский ФАП,https://healthcare.by/instinfo.php?orgnum=16233,Новоселки,ФАП,FAP,"247621, д. Новоселки, Хойникский р-н, Гомельская обл.",
1216,Новоселковский ФАП,https://healthcare.by/instinfo.php?orgnum=16870,Новоселки (Лошницкий с/с,ФАП,FAP,"ул. Хацкевича, 16, 222121, д. Новоселки (Лошницкий с/с), Борисовский р-н, Минская обл.",
1217,Новоселковский ФАП,https://healthcare.by/instinfo.php?orgnum=17660,Новоселки-2,ФАП,FAP,"211875, д. Новоселки-2, Поставский р-н, Витебская обл.",
1218,Новоселковский ФАП,https://healthcare.by/instinfo.php?orgnum=14925,Новые Новоселки,ФАП,FAP,"д. Новые Новоселки, Несвижский р-н, Минская обл.",
1219,Новосельский ФАП,https://healthcare.by/instinfo.php?orgnum=15447,Новинка,ФАП,FAP,"д. Мешково, Толочинский р-н, Витебская обл.",
1220,Новосельский ФАП,https://healthcare.by/instinfo.php?orgnum=15247,Новое Село,ФАП,FAP,"211211, д. Новое Село, Лиозненский р-н, Витебская обл.",
1221,Новосельский ФАП,https://healthcare.by/instinfo.php?orgnum=22998,Новоселки,ФАП,FAP,"д. Новоселки, Могилевский р-н, Могилевская обл.",
1222,Новосельский ФАП,https://healthcare.by/instinfo.php?orgnum=16318,Новоселки,ФАП,FAP,"213161, д. Новоселки, Белыничский р-н, Могилевская обл.",
1223,Новосельский ФАП,https://healthcare.by/instinfo.php?orgnum=16869,Новоселки (Гливинский с/с,ФАП,FAP,"ул. Центральная, 3а, 222115, д. Новоселки (Гливинский с/с), Борисовский р-н, Минская обл.",
1224,Новосельский ФАП,https://healthcare.by/instinfo.php?orgnum=20892,Новосельцы,ФАП,FAP,"211914, д. Новосельцы, Шарковщинский р-н, Витебская обл.",
1225,Новский ФАП,https://healthcare.by/instinfo.php?orgnum=17163,Новое,ФАП,FAP,"ул. Гагарина, 30, 225211, д. Новое, Березовский р-н, Брестская обл.",
1226,Норковский ФАП,https://healthcare.by/instinfo.php?orgnum=16755,Норки,ФАП,FAP,"213550, д. Норки, Чериковский р-н, Могилевская обл.",
1227,Норцевичский ФАП,https://healthcare.by/instinfo.php?orgnum=16529,Норцевичи,ФАП,FAP,"231469, д. Норцевичи, Дятловский р-н, Гродненская обл.",
1228,Носовичский ФАП,https://healthcare.by/instinfo.php?orgnum=15898,Носовичи,ФАП,FAP,"ул. Советская, 83, 247706, д. Носовичи, Калинковичский р-н, Гомельская обл.",
1229,Нуровский ФАП,https://healthcare.by/instinfo.php?orgnum=15161,Нурово,ФАП,FAP,"211601, д. Нурово, Верхнедвинский р-н, Витебская обл.",
1230,Обидовичский ФАП,https://healthcare.by/instinfo.php?orgnum=15981,Обидовичи,ФАП,FAP,"213343, д. Обидовичи, Быховский р-н, Могилевская обл.",
1231,Ободовский ФАП,https://healthcare.by/instinfo.php?orgnum=17262,Ободовцы,ФАП,FAP,"ул. Центральная, 9, д. Ободовцы, Вилейский р-н, Минская обл.",
1232,Обольский ФАП,https://healthcare.by/instinfo.php?orgnum=15425,Оболь,ФАП,FAP,"д. Оболь, Сенненский р-н, Витебская обл.",
1233,Обровский ФАП,https://healthcare.by/instinfo.php?orgnum=24211,Оброво,ФАП,FAP,"ул. Первомайская, 19, д. Оброво, Ивацевичский р-н, Брестская обл.",
1234,Обрубский ФАП,https://healthcare.by/instinfo.php?orgnum=15584,Обруб,ФАП,FAP,"ул. Школьная, 11, 211824, д. Обруб, Глубокский р-н, Витебская обл.",
1235,Обчинский ФАП,https://healthcare.by/instinfo.php?orgnum=15382,Обчин,ФАП,FAP,"ул. Центральная, 1, 223838, д. Обчин, Любанский р-н, Минская обл.",
1236,Овзичский ФАП,https://healthcare.by/instinfo.php?orgnum=17820,Овзичи,ФАП,FAP,"ул. Центральная, 95, 225810, д. Овзичи, Ивановский р-н, Брестская обл.",
1237,Овсемировский ФАП,https://healthcare.by/instinfo.php?orgnum=21601,Овсемиров,ФАП,FAP,"ул. Советская, 16, 225529, д. Овсемиров, Столинский р-н, Брестская обл.",
1238,Оговский ФАП,https://healthcare.by/instinfo.php?orgnum=17824,Огово,ФАП,FAP,"ул. Выгоновская, 9, 225811, д. Огово, Ивановский р-н, Брестская обл.",
1239,Огородниковский ФАП,https://healthcare.by/instinfo.php?orgnum=17168,Ивановские Огородники,ФАП,FAP,"ул. Центральная, 1, д. Ивановские Огородники, Слуцкий р-н, Минская обл.",
1240,Огородниковский ФАП,https://healthcare.by/instinfo.php?orgnum=17787,Огородники,ФАП,FAP,"пер. Восточный, д. 2, 225127, д. Вежки, Жабинковский р-н, Брестская обл.",
1241,Огородникский ФАП,https://healthcare.by/instinfo.php?orgnum=18247,Огородники,ФАП,FAP,"ул. Советская, 1, 247724, д. Огородники, Калинковичский р-н, Гомельская обл.",
1242,Одельский ФАП,https://healthcare.by/instinfo.php?orgnum=16491,Одельск,ФАП,FAP,"231713, д. Одельск, Гродненский р-н, Гродненская обл.",
1243,Озаричский ФАП,https://healthcare.by/instinfo.php?orgnum=17496,Озаричи,ФАП,FAP,"ул. Первомайская, 25, 225757, д. Озаричи, Пинский р-н, Брестская обл.",
1244,Оздамичский ФАП,https://healthcare.by/instinfo.php?orgnum=21603,Оздамичи,ФАП,FAP,"ул. 9 мая, 82, 225553, д. Оздамичи, Столинский р-н, Брестская обл.",
1245,Озеравский ФАП,https://healthcare.by/instinfo.php?orgnum=15115,Озераво,ФАП,FAP,"Козьянский с/с, д. Озераво, Браславский р-н, Витебская обл.",
1246,Озеранский ФАП,https://healthcare.by/instinfo.php?orgnum=5004,Озераны,ФАП,FAP,"ул. Молодежная, 5, 247993, д. Озераны, Житковичский р-н, Гомельская обл.",
1247,Озеранский ФАП,https://healthcare.by/instinfo.php?orgnum=15038,Озераны,ФАП,FAP,"247288, д. Озераны, Рогачевский р-н, Гомельская обл.",
1248,Озеранский ФАП,https://healthcare.by/instinfo.php?orgnum=16567,Озераны,ФАП,FAP,"д. Озераны, Дятловский р-н, Гродненская обл.",
1249,Озерецкая врачебная амбулатория общей практики,https://healthcare.by/instinfo.php?orgnum=15585,Озерцы,Амбулатория,Outpatient Clinic,"п/о Озерцы, 211802, д. Озерцы, Глубокский р-н, Витебская обл.",
1250,Озерецкий ФАП,https://healthcare.by/instinfo.php?orgnum=15448,Озерцы,ФАП,FAP,"д. Озерцы, Толочинский р-н, Витебская обл.",
1251,Озеричинский ФАП,https://healthcare.by/instinfo.php?orgnum=15143,Озеричино,ФАП,FAP,"д. Озеричино, Пуховичский р-н, Минская обл.",
1252,Озерковский ФАП,https://healthcare.by/instinfo.php?orgnum=16702,Озерки,ФАП,FAP,"ул. Озерная, 45а, д. Озерки, Мостовский р-н, Гродненская обл.",
1253,Озерницкий ФАП,https://healthcare.by/instinfo.php?orgnum=18114,Озерница,ФАП,FAP,"ул. Новая, 45, 225669, д. Озерница, Лунинецкий р-н, Брестская обл.",
1254,Озерновский ФАП,https://healthcare.by/instinfo.php?orgnum=15807,Озерный,ФАП,FAP,"247973, д. Озерный, Житковичский р-н, Гомельская обл.",
1255,Озерновский ФАП,https://healthcare.by/instinfo.php?orgnum=14852,Озерный,ФАП,FAP,"ул. Центральная, 10, 223213, д. Озерный, Червенский р-н, Минская обл.",
1256,Октябрьский ФАП,https://healthcare.by/instinfo.php?orgnum=17169,Октябрь,ФАП,FAP,"ул. Трудовая, 1, д. Октябрь, Слуцкий р-н, Минская обл.",
1257,Октябрьский ФАП,https://healthcare.by/instinfo.php?orgnum=17342,Октябрь,ФАП,FAP,"ул. Центральная, 5, 223722, д. Октябрь, Солигорский р-н, Минская обл.",
1258,Октябрьский ФАП,https://healthcare.by/instinfo.php?orgnum=16939,Октябрь,ФАП,FAP,"223134, д. Октябрь, Логойский р-н, Минская обл.",
1259,Октябрьский ФАП,https://healthcare.by/instinfo.php?orgnum=15817,Октябрь,ФАП,FAP,"ул. Молодежная, 96, 247221, д. Октябрь, Жлобинский р-н, Гомельская обл.",
1260,Октябрьский ФАП,https://healthcare.by/instinfo.php?orgnum=18071,Октябрь,ФАП,FAP,"ул. Красногвардейская, 17, 225882, д. Октябрь, Кобринский р-н, Брестская обл.",
1261,Октябрьский ФАП,https://healthcare.by/instinfo.php?orgnum=15664,Октябрь,ФАП,FAP,"247383, д. Октябрь, Буда-Кошелевский р-н, Гомельская обл.",
1262,Октябрьский ФАП,https://healthcare.by/instinfo.php?orgnum=16314,Октябрьск,ФАП,FAP,"213783, д. Октябрьск, Кличевский р-н, Могилевская обл.",
1263,Октябрьский ФАП,https://healthcare.by/instinfo.php?orgnum=27525,Октябрьск,ФАП,FAP,"213912, д. Октябрьск, Кличевский р-н, Могилевская обл.",
1264,Октябрьский ФАП,https://healthcare.by/instinfo.php?orgnum=17667,Октябрьский,ФАП,FAP,"дом 20, 225312, п. Октябрьский, Барановичский р-н, Брестская обл.",
1265,Ольговский ФАП,https://healthcare.by/instinfo.php?orgnum=15080,Ольгово,ФАП,FAP,"ул. Центральная 4, д. Ольгово, Витебский р-н, Витебская обл.",
1266,Ольпенский ФАП,https://healthcare.by/instinfo.php?orgnum=21604,Ольпень,ФАП,FAP,"ул. Советская, 2, 225517, д. Ольпень, Столинский р-н, Брестская обл.",
1267,Ольховский ФАП,https://healthcare.by/instinfo.php?orgnum=16840,Ольховка,ФАП,FAP,"ул. Лесная, 6-4, 231223, д. Ольховка, Островецкий р-н, Гродненская обл.",
1268,Ольшанский ФАП,https://healthcare.by/instinfo.php?orgnum=17707,Ольшанка,ФАП,FAP,"ул. Центральная, 14, 211155, д. Ольшанка, Чашникский р-н, Витебская обл.",
1269,Омельнянский ФАП,https://healthcare.by/instinfo.php?orgnum=16169,Омельно,ФАП,FAP,"247292, д. Омельно, Рогачевский р-н, Гомельская обл.",
1270,Омельнянский ФАП,https://healthcare.by/instinfo.php?orgnum=15140,Омельно,ФАП,FAP,"д. Омельно, Пуховичский р-н, Минская обл.",
1271,Онжадовский ФАП,https://healthcare.by/instinfo.php?orgnum=16994,Онжадово,ФАП,FAP,"ул. Новая, 2, 231114, д. Онжадово, Ошмянский р-н, Гродненская обл.",
1272,Онисковичский ФАП,https://healthcare.by/instinfo.php?orgnum=17976,Онисковичи,ФАП,FAP,"ул. Заречная, 19, 225884, д. Онисковичи, Кобринский р-н, Брестская обл.",
1273,Опечковский ФАП,https://healthcare.by/instinfo.php?orgnum=16957,Опечки,ФАП,FAP,"ул. Центральная, 61а, 222672, д. Опечки, Столбцовский р-н, Минская обл.",
1274,Оплисский ФАП,https://healthcare.by/instinfo.php?orgnum=17577,Оплисо,ФАП,FAP,"д. 12, 211962, д. Оплисо, Браславский р-н, Витебская обл.",
1275,Ордатский ФАП,https://healthcare.by/instinfo.php?orgnum=16809,Ордать,ФАП,FAP,"ул. Центральная, 1, 213039, д. Ордать, Шкловский р-н, Могилевская обл.",
1276,Ордянский ФАП,https://healthcare.by/instinfo.php?orgnum=14969,Орда,ФАП,FAP,"ул. Садовая, 2, 222657, д. Орда, Клецкий р-н, Минская обл.",
1277,Орепичский ФАП,https://healthcare.by/instinfo.php?orgnum=17783,Орепичи,ФАП,FAP,"ул. Тимофея Лося, д 11, 225117, д. Орепичи, Жабинковский р-н, Брестская обл.",
1278,Ореховский ФАП,https://healthcare.by/instinfo.php?orgnum=15466,Ореховно,ФАП,FAP,"Сорочинский с/с, ул. Школьная, 3, 211491, д. Ореховно, Ушачский р-н, Витебская обл.",
1279,Ореховский ФАП,https://healthcare.by/instinfo.php?orgnum=17444,Орехово,ФАП,FAP,"ул. Советская, 23, 225925, д. Орехово, Малоритский р-н, Брестская обл.",
1280,Орешковичский ФАП,https://healthcare.by/instinfo.php?orgnum=15142,Орешковичи,ФАП,FAP,"д. Орешковичи, Пуховичский р-н, Минская обл.",
1281,Орешковичский ФАП,https://healthcare.by/instinfo.php?orgnum=15546,Орешковичи,ФАП,FAP,"ул. Школьная, 1, 223314, д. Орешковичи, Березинский р-н, Минская обл.",
1282,Орешниковский ФАП,https://healthcare.by/instinfo.php?orgnum=15400,Орешники,ФАП,FAP,"ул. Центральная, 10, 222202, д. Орешники, Смолевичский р-н, Минская обл.",
1283,Орешницкий ФАП,https://healthcare.by/instinfo.php?orgnum=14959,Орешница,ФАП,FAP,"ул. Я. Купалы, 2, 222644, д. Орешница, Клецкий р-н, Минская обл.",
1284,Орловичский ФАП,https://healthcare.by/instinfo.php?orgnum=15234,Орловичи,ФАП,FAP,"ул. Центральная, 51, 211059, д. Орловичи, Дубровенский р-н, Витебская обл.",
1285,Осередковский ФАП,https://healthcare.by/instinfo.php?orgnum=16607,Осередок,ФАП,FAP,"ул. Шоссейная, 1а, 213741, д. Осередок, Осиповичский р-н, Могилевская обл.",
1286,Осипенский ФАП,https://healthcare.by/instinfo.php?orgnum=15241,Осипенки,ФАП,FAP,"211206, д. Осипенки, Лиозненский р-н, Витебская обл.",
1287,Осиповичский ФАП,https://healthcare.by/instinfo.php?orgnum=17238,Осиповичи,ФАП,FAP,"ул. Рабочая, 4, д. Осиповичи, Вилейский р-н, Минская обл.",
1288,Осиповичский ФАП,https://healthcare.by/instinfo.php?orgnum=17768,Осиповичи,ФАП,FAP,"ул. Советская, 26, 225855, д. Осиповичи, Дрогичинский р-н, Брестская обл.",
1289,Осиповский ФАП,https://healthcare.by/instinfo.php?orgnum=16565,Осиповцы,ФАП,FAP,"231396, д. Осиповцы, Вороновский р-н, Гродненская обл.",
1290,Осман-Касаевский ФАП,https://healthcare.by/instinfo.php?orgnum=15845,Осман-Касаево,ФАП,FAP,"213176, д. Осман-Касаево, Белыничский р-н, Могилевская обл.",
1291,Осмоловичский ФАП,https://healthcare.by/instinfo.php?orgnum=16253,Осмоловичи,ФАП,FAP,"213630, д. Осмоловичи, Климовичский р-н, Могилевская обл.",
1292,Оснежицкий ФАП,https://healthcare.by/instinfo.php?orgnum=17468,Оснежицы,ФАП,FAP,"ул. Ленина, 22, 225751, д. Оснежицы, Пинский р-н, Брестская обл.",
1293,Осовецкий ФАП,https://healthcare.by/instinfo.php?orgnum=16409,Осовец,ФАП,FAP,"213521, д. Осовец, Кричевский р-н, Могилевская обл.",
1294,Осовский ФАП,https://healthcare.by/instinfo.php?orgnum=17341,Осово,ФАП,FAP,"ул. Школьная, 9, 223739, д. Осово, Солигорский р-н, Минская обл.",
1295,Осовской ФАП,https://healthcare.by/instinfo.php?orgnum=21607,Осовцы,ФАП,FAP,"ул. Пинская, 13а, 225536, д. Осовцы, Столинский р-н, Брестская обл.",
1296,Оссовский ФАП,https://healthcare.by/instinfo.php?orgnum=17971,Оса,ФАП,FAP,"ул. Ситкова, 48, 225877, д. Осса, Кобринский р-н, Брестская обл.",
1297,Осташинский ФАП,https://healthcare.by/instinfo.php?orgnum=16714,Осташин,ФАП,FAP,"д. Осташин, Кореличский р-н, Гродненская обл.",
1298,Осташинский ФАП,https://healthcare.by/instinfo.php?orgnum=16760,Осташино,ФАП,FAP,"231422, д. Осташино, Новогрудский р-н, Гродненская обл.",
1299,Островский ФАП,https://healthcare.by/instinfo.php?orgnum=17730,Остров,ФАП,FAP,"ул. Октябрьская, 1, 225451, д. Остров, Ганцевичский р-н, Брестская обл.",
1300,Островский ФАП,https://healthcare.by/instinfo.php?orgnum=18095,Остров,ФАП,FAP,"ул. Комсомольская, 20, 225384, д. Остров, Ляховичский р-н, Брестская обл.",
1301,Островский ФАП,https://healthcare.by/instinfo.php?orgnum=17894,Остров,ФАП,FAP,"213916, д. Остров, Кличевский р-н, Могилевская обл.",
1302,Островский ФАП,https://healthcare.by/instinfo.php?orgnum=17045,Острово,ФАП,FAP,"231805, д. Острово, Слонимский р-н, Гродненская обл.",
1303,Островский ФАП,https://healthcare.by/instinfo.php?orgnum=18115,Острово,ФАП,FAP,"ул. Машерова, 49, 225686, д. Острово, Лунинецкий р-н, Брестская обл.",
1304,Островский ФАП,https://healthcare.by/instinfo.php?orgnum=15082,Островские,ФАП,FAP,"ул. Заслонова, 11, д. Островские, Витебский р-н, Витебская обл.",
1305,Островской ФАП,https://healthcare.by/instinfo.php?orgnum=16616,Острово,ФАП,FAP,"231954, д. Острово, Зельвенский р-н, Гродненская обл.",
1306,Острожанский ФАП,https://healthcare.by/instinfo.php?orgnum=15952,Острожанка,ФАП,FAP,"247866, д. Первомайск, Лельчицкий р-н, Гомельская обл.",
1307,Остромичский ФАП,https://healthcare.by/instinfo.php?orgnum=18068,Остромичи,ФАП,FAP,"ул. Центральная, 3, 225839, д. Остромичи, Кобринский р-н, Брестская обл.",
1308,Острошицкий ФАП,https://healthcare.by/instinfo.php?orgnum=16942,Острошицы,ФАП,FAP,"223113, д. Острошицы, Логойский р-н, Минская обл.",
1309,Остуховский ФАП,https://healthcare.by/instinfo.php?orgnum=16750,Остухово,ФАП,FAP,"д. Остухово, Кореличский р-н, Гродненская обл.",
1310,Отвержичский ФАП,https://healthcare.by/instinfo.php?orgnum=17304,Отвержичи,ФАП,FAP,"ул. Советская, 22, 225537, д. Отвержичи, Столинский р-н, Брестская обл.",
1311,Отминовский ФАП,https://healthcare.by/instinfo.php?orgnum=16777,Отминово,ФАП,FAP,"ул. Центральная, 32а, 231413, д. Отминово, Новогрудский р-н, Гродненская обл.",
1312,Отрадненский ФАП,https://healthcare.by/instinfo.php?orgnum=15383,Отрадное,ФАП,FAP,"ул. Молодежная, 16, 223837, д. Отрадное, Любанский р-н, Минская обл.",
1313,Охоновский ФАП,https://healthcare.by/instinfo.php?orgnum=16518,Охоново,ФАП,FAP,"231461, д. Охоново, Дятловский р-н, Гродненская обл.",
1314,Оюцевичский ФАП,https://healthcare.by/instinfo.php?orgnum=16753,Оюцевичи,ФАП,FAP,"231449, д. Оюцевичи, Кореличский р-н, Гродненская обл.",
1315,Павлиновский ФАП,https://healthcare.by/instinfo.php?orgnum=17721,Павлиново,ФАП,FAP,"225358, д. Павлиново, Барановичский р-н, Брестская обл.",
1316,Павловичский ФАП,https://healthcare.by/instinfo.php?orgnum=16251,Павловичи,ФАП,FAP,"213630, д. Павловичи, Климовичский р-н, Могилевская обл.",
1317,Павловичский ФАП,https://healthcare.by/instinfo.php?orgnum=16201,Павловичи,ФАП,FAP,"ул. Центральная, 52, д. Павловичи, Кировский р-н, Могилевская обл.",
1318,Пакульнянский ФАП,https://healthcare.by/instinfo.php?orgnum=15116,Пакульня,ФАП,FAP,"211991, д. Пакульня, Браславский р-н, Витебская обл.",
1319,Палужский ФАП,https://healthcare.by/instinfo.php?orgnum=16382,Палуж 1-й,ФАП,FAP,"213562, д. Палуж 1-й, Краснопольский р-н, Могилевская обл.",
1320,Палушский ФАП,https://healthcare.by/instinfo.php?orgnum=16832,Палуша,ФАП,FAP,"ул. Центральная, 8, 231200, д. Палуша, Островецкий р-н, Гродненская обл.",
1321,Папшулевский ФАП,https://healthcare.by/instinfo.php?orgnum=18134,Папшули,ФАП,FAP,"211955, д. Папшули, Миорский р-н, Витебская обл.",
1322,Парский ФАП,https://healthcare.by/instinfo.php?orgnum=17488,Паре,ФАП,FAP,"225714, д. Паре, Пинский р-н, Брестская обл.",
1323,Партизановский ФАП,https://healthcare.by/instinfo.php?orgnum=17060,Партизановка,ФАП,FAP,"231824, д. Партизановка, Слонимский р-н, Гродненская обл.",
1324,Партизанский ФАП,https://healthcare.by/instinfo.php?orgnum=17254,Партизанский,ФАП,FAP,"ул. Ломоносова, 17/1, п. Партизанский, Вилейский р-н, Минская обл.",
1325,Пархимовский ФАП,https://healthcare.by/instinfo.php?orgnum=16455,Пархимовцы,ФАП,FAP,"231771, д. Пархимовцы, Берестовицкий р-н, Гродненская обл.",
1326,Паршинский ФАП,https://healthcare.by/instinfo.php?orgnum=16128,Паршино,ФАП,FAP,"ул. Горецкая, 1, 213426, д. Паршино, Горецкий р-н, Могилевская обл.",
1327,Пасекский ФАП,https://healthcare.by/instinfo.php?orgnum=17024,Пасека,ФАП,FAP,"ул. Украинская, 25, аг. Пасека, Стародорожский р-н, Минская обл.",
1328,Пастовичский ФАП,https://healthcare.by/instinfo.php?orgnum=17019,Пастовичи,ФАП,FAP,"222912, ул. Школьная, 7, аг. Пастовичи, Стародорожский р-н, Минская обл.",
1329,Пацевичский ФАП,https://healthcare.by/instinfo.php?orgnum=16707,Пацевичи,ФАП,FAP,"ул. Мира, 19а, 231622, д. Пацевичи, Мостовский р-н, Гродненская обл.",
1330,Пацево-Слободской ФАП,https://healthcare.by/instinfo.php?orgnum=27521,Пацева Слобода,ФАП,FAP,"ул. Молодежная, 1, д. Пацева Слобода, Кировский р-н, Могилевская обл.",
1331,Пацуевский ФАП,https://healthcare.by/instinfo.php?orgnum=17003,Пацуи,ФАП,FAP,"231967, д. Пацуи, Свислочский р-н, Гродненская обл.",
1332,Пашковичский ФАП,https://healthcare.by/instinfo.php?orgnum=16578,Пашковичи,ФАП,FAP,"231390, д. Пашковичи, Вороновский р-н, Гродненская обл.",
1333,Пашковский ФАП,https://healthcare.by/instinfo.php?orgnum=16474,Новое Пашково,ФАП,FAP,"213123, д. Новое Пашково, Могилевский р-н, Могилевская обл.",
1334,Пашковский ФАП,https://healthcare.by/instinfo.php?orgnum=26826,Пашки,ФАП,FAP,"д. 26, д. Пашки, Вороновский р-н, Гродненская обл.",
1335,Пекалинский ФАП,https://healthcare.by/instinfo.php?orgnum=15393,Пекалин,ФАП,FAP,"ул. Школьная, 74, 222226, д. Пекалин, Смолевичский р-н, Минская обл.",
1336,Пекарский ФАП,https://healthcare.by/instinfo.php?orgnum=15188,Пекара,ФАП,FAP,"ул. Молодежная, 4, 222313, д. Пекара, Молодеченский р-н, Минская обл.",http://https//crbmol.by/podrazdelenija/28-
1337,Пенчинская АВОП,https://healthcare.by/instinfo.php?orgnum=15659,Пенчин,Амбулатория,Outpatient Clinic,"247373, д. Пенчин, Буда-Кошелевский р-н, Гомельская обл.",
1338,Первомайский ФАП,https://healthcare.by/instinfo.php?orgnum=15293,Белево,ФАП,FAP,"211008, д. Белево, Оршанский р-н, Витебская обл.",
1339,Первомайский ФАП,https://healthcare.by/instinfo.php?orgnum=15600,Вархи,ФАП,FAP,"Первомайский с/с, 211569, д. Вархи, Городокский р-н, Витебская обл.",
1340,Первомайский ФАП,https://healthcare.by/instinfo.php?orgnum=15429,Литусово,ФАП,FAP,"д. Литусово, Сенненский р-н, Витебская обл.",
1341,Первомайский ФАП,https://healthcare.by/instinfo.php?orgnum=16106,Первомайск,ФАП,FAP,"ул. Советская, 47а, 247539, д. Первомайск, Речицкий р-н, Гомельская обл.",
1342,Первомайский ФАП,https://healthcare.by/instinfo.php?orgnum=17347,Первомайск,ФАП,FAP,"ул. Пролетарская, 6, 223724, д. Первомайск, Солигорский р-н, Минская обл.",
1343,Первомайский ФАП,https://healthcare.by/instinfo.php?orgnum=21609,Первомайск,ФАП,FAP,"ул. Первомайская, 33, 225526, д. Первомайск, Столинский р-н, Брестская обл.",
1344,Первомайский ФАП,https://healthcare.by/instinfo.php?orgnum=15163,Первомайская,ФАП,FAP,"211624, д. Первомайская, Верхнедвинский р-н, Витебская обл.",
1345,Перебродский ФАП,https://healthcare.by/instinfo.php?orgnum=15267,Перебродье,ФАП,FAP,"211932, д. Перебродье, Миорский р-н, Витебская обл.",
1346,Переволокский ФАП,https://healthcare.by/instinfo.php?orgnum=16107,Переволока,ФАП,FAP,"ул. Советская, 17, 247562, д. Переволока, Речицкий р-н, Гомельская обл.",
1347,Переганцевский ФАП,https://healthcare.by/instinfo.php?orgnum=16572,Переганцы,ФАП,FAP,"231385, д. Переганцы, Вороновский р-н, Гродненская обл.",
1348,Перелевский ФАП,https://healthcare.by/instinfo.php?orgnum=15696,Перелевка,ФАП,FAP,"247135, ул. Ленина, 30, д. Перелевка, Ветковский р-н, Гомельская обл.",
1349,Переровский ФАП,https://healthcare.by/instinfo.php?orgnum=15806,Переров,ФАП,FAP,"247994, д. Переров, Житковичский р-н, Гомельская обл.",
1350,Переростовский ФАП,https://healthcare.by/instinfo.php?orgnum=15740,Перерост,ФАП,FAP,"ул. Центральная, 2, 247064, д. Перерост, Добрушский р-н, Гомельская обл.",
1351,Перерубский ФАП,https://healthcare.by/instinfo.php?orgnum=17814,Переруб,ФАП,FAP,"ул. Центральная, 8, 225811, д. Переруб, Ивановский р-н, Брестская обл.",
1352,Пересадский ФАП,https://healthcare.by/instinfo.php?orgnum=16897,Пересады,ФАП,FAP,"ул. Центральная, 135, аг. Пересады, Борисовский р-н, Минская обл.",
1353,Пересвятовский ФАП,https://healthcare.by/instinfo.php?orgnum=16108,Пересвятое,ФАП,FAP,"ул. Школьная, 6, 247540, д. Пересвятое, Речицкий р-н, Гомельская обл.",
1354,Пересудовичский ФАП,https://healthcare.by/instinfo.php?orgnum=17183,Высокое,ФАП,FAP,"п/о Высокое, ул. Кирова, 5, 225217, д. Высокое, Березовский р-н, Брестская обл.",
1355,Перковичский ФАП,https://healthcare.by/instinfo.php?orgnum=17769,Перковичи,ФАП,FAP,"ул. Брестская, 5, 225830, д. Перковичи, Дрогичинский р-н, Брестская обл.",
1356,Перуновский ФАП,https://healthcare.by/instinfo.php?orgnum=18117,Периново,ФАП,FAP,"ул. Центральная, 7, 225667, д. Периново, Лунинецкий р-н, Брестская обл.",
1357,Перховичский ФАП,https://healthcare.by/instinfo.php?orgnum=17668,Перховичи,ФАП,FAP,"ул. Молодежная, 2, 225334, д. Перховичи, Барановичский р-н, Брестская обл.",
1358,Песковский ФАП,https://healthcare.by/instinfo.php?orgnum=16797,Песковцы,ФАП,FAP,"ул. Садовая, 2б, 231318, д. Песковцы, Лидский р-н, Гродненская обл.",
1359,Песочно-Будский ФАП,https://healthcare.by/instinfo.php?orgnum=15722,Песочная Буда,ФАП,FAP,"ул. Фабричная, 4, 247008, д. Песочная Буда, Гомельский р-н, Гомельская обл.",
1360,Пестуницкий ФАП,https://healthcare.by/instinfo.php?orgnum=15083,Пестуница,ФАП,FAP,"ул. Коммунистическая, 23-2, 211306, д. Пестуница, Витебский р-н, Витебская обл.",http://vgcp.by
1361,Петковичский ФАП,https://healthcare.by/instinfo.php?orgnum=17283,Петковичи,ФАП,FAP,"ул. Юбилейная, 16, д. Петковичи, Дзержинский р-н, Минская обл.",
