,facility_title,link,settlement,facility_type,facility_type_eng,address,website,latitude,longitude
167,Будский ФАП,https://healthcare.by/instinfo.php?orgnum=15223,Буда,ФАП,FAP,"ул. Задорожная, 3, 211044, д. Жабыки, Дубровенский р-н, Витебская обл.",,54.658318,30.662438
168,Будской ФАП,https://healthcare.by/instinfo.php?orgnum=16072,Буда,ФАП,FAP,"213425, д. Буда, Горецкий р-н, Могилевская обл.",,54.177753,31.310815
169,Букчанский ФАП,https://healthcare.by/instinfo.php?orgnum=15947,Букча,ФАП,FAP,"ул. Ленинская, 60, 247856, д. Букча, Лельчицкий р-н, Гомельская обл.",,51.752312,27.675459
170,Булавковский ФАП,https://healthcare.by/instinfo.php?orgnum=15896,Булавки,ФАП,FAP,"247708, д. Булавки, Калинковичский р-н, Гомельская обл.",,52.254247,29.351518
171,Бурковский ФАП,https://healthcare.by/instinfo.php?orgnum=15631,Бурки,ФАП,FAP,"ул. Кооперативная, 29, 247633, д. Бурки, Брагинский р-н, Гомельская обл.",,51.806584,30.182899
172,Буссовский ФАП,https://healthcare.by/instinfo.php?orgnum=17809,Бусса,ФАП,FAP,"ул. Я. Коласа, 225812, д. 5/2, Бусса, Ивановский р-н, Брестская обл.",,52.32081,25.708382
173,Бухличский ФАП,https://healthcare.by/instinfo.php?orgnum=21572,Бухличи,ФАП,FAP,"ул. Советская, 7в, 225547, д. Бухличи, Столинский р-н, Брестская обл.",,51.796838,26.773532
174,Бучатинский ФАП,https://healthcare.by/instinfo.php?orgnum=15568,Бучатино,ФАП,FAP,"д. Бучатино, Копыльский р-н, Минская обл.",,52.913015,27.084421
175,Быковский ФАП,https://healthcare.by/instinfo.php?orgnum=17144,Большой Быков,ФАП,FAP,"ул. Центральная, 30, д. Большой Быков, Слуцкий р-н, Минская обл.",,52.885225,27.591413
176,Быстрицкий ФАП,https://healthcare.by/instinfo.php?orgnum=16837,Быстрица,ФАП,FAP,"ул. Центральная, 2А-1, 231221, д. Быстрица, Островецкий р-н, Гродненская обл.",,54.799257,25.874885
177,Быстромовский ФАП,https://healthcare.by/instinfo.php?orgnum=15101,Быстромовцы,ФАП,FAP,"ул. Центральная, 6, 211986, д. Быстромовцы, Браславский р-н, Витебская обл.",,55.763508,27.180227
178,Бытчанский ФАП,https://healthcare.by/instinfo.php?orgnum=16883,Бытча,ФАП,FAP,"ул. Молодежная, 10а, д. Бытча, Борисовский р-н, Минская обл.",,54.306665,28.405987
179,Быховщинский ФАП,https://healthcare.by/instinfo.php?orgnum=14933,Большая Быховщина,ФАП,FAP,"д. Большая Быховщина, Несвижский р-н, Минская обл.",,53.126738,26.632209
180,Вавуличский ФАП,https://healthcare.by/instinfo.php?orgnum=17752,Вавуличи,ФАП,FAP,"ул. Ленина, 24, 225846, д. Вавуличи, Дрогичинский р-н, Брестская обл.",,52.218867,25.35856
181,Валищенский ФАП,https://healthcare.by/instinfo.php?orgnum=17494,Валище,ФАП,FAP,"ул. Ленина, 105а, 225756, д. Валище, Пинский р-н, Брестская обл.",,52.399276,25.946678
182,Ванелевичский ФАП,https://healthcare.by/instinfo.php?orgnum=15574,Ванелевичи,ФАП,FAP,"д. Ванелевичи, Копыльский р-н, Минская обл.",,53.09185,27.157733
183,Василевский ФАП,https://healthcare.by/instinfo.php?orgnum=17955,Василевка 1-я,ФАП,FAP,"213660, д. Василевка 2-я, Хотимский р-н, Могилевская обл.",,53.487632,32.561737
184,Василевщинский ФАП,https://healthcare.by/instinfo.php?orgnum=17068,Василевщина,ФАП,FAP,"д. Василевщина, Минский р-н, Минская обл.",,53.753746,27.443047
185,Васильевский ФАП,https://healthcare.by/instinfo.php?orgnum=15702,Василево,ФАП,FAP,"ул. Первомайская, 3, 247039, д. Василево, Гомельский р-н, Гомельская обл.",,52.249715,30.636818
186,Васьковичский ФАП,https://healthcare.by/instinfo.php?orgnum=16627,Васьковичи,ФАП,FAP,"213260, д. Васьковичи, Славгородский р-н, Могилевская обл.",,53.401408,30.906331
187,Васьковичский ФАП,https://healthcare.by/instinfo.php?orgnum=16677,Васьковичи,ФАП,FAP,"213240, д. Васьковичи, Чаусский р-н, Могилевская обл.",,53.905382,30.754992
188,Ведреньский ФАП,https://healthcare.by/instinfo.php?orgnum=15475,Малая Ведрень,ФАП,FAP,"ул. Строительная, 15, 211154, д. Малая Ведрень, Чашникский р-н, Витебская обл.",,54.916356,29.3083
