adm2_pcode,district,adm1_pcode,region,center_lat,center_lon,settlements,over_3km,over_8km,over_13km,mean_distance,median_distance,max_distance,pct_over_3km,pct_over_8km,pct_over_13km,district_match,population_total,population_65plus,pct_65plus,salary
BY004020,Uzda,BY004,Minsk,53.47407722,27.40962394,148,54,0,0,2.49,2.48,7.5,36.5,0.0,0.0,Uzda,23627,4870,20.6,2384.7
BY004021,Vilejka,BY004,Minsk,54.48554611,27.09441467,366,199,4,0,3.25,3.18,9.45,54.4,1.1,0.0,Vileyka,45481,9764,21.5,2149.9
BY004022,Volozhin,BY004,Minsk,54.0198555,26.75733714,510,335,7,0,3.8,3.7,11.51,65.7,1.4,0.0,Volozhin,33270,7292,21.9,2254.1
BY005001,Minsk City,BY005,Minsk City,53.9045105,27.59402326,2,0,0,0,1.14,1.14,1.65,0.0,0.0,0.0,Minsk,279989,36909,13.2,3309.5
BY006001,Belynichi,BY006,Mogilev,53.88556099,29.63827199,159,82,5,0,3.28,3.05,9.74,51.6,3.1,0.0,Belynichy,17194,4047,23.5,2173.5
BY006002,Bobrujsk,BY006,Mogilev,53.06713486,29.16342806,175,91,0,0,3.13,3.16,7.72,52.0,0.0,0.0,Bobruysk,16204,4310,26.6,1998.5
BY006003,Byhov,BY006,Mogilev,53.46336555,30.21435214,194,111,1,0,3.22,3.28,8.08,57.2,0.5,0.0,Bykhov,27582,5862,21.3,2066.0
BY006004,Chausy,BY006,Mogilev,53.78238297,30.93439952,150,95,2,0,3.64,3.73,8.31,63.3,1.3,0.0,Chausy,16291,4044,24.8,1924.3
BY006005,Cherikov,BY006,Mogilev,53.62009239,31.40748065,87,38,2,0,3.03,2.79,11.53,43.7,2.3,0.0,Cherikov,12164,2174,17.9,1924.4
BY006006,Dribin,BY006,Mogilev,54.04052353,30.930327,99,55,1,0,3.39,3.28,8.66,55.6,1.0,0.0,Dribin,9190,1761,19.2,1891.5
BY006007,Glusk,BY006,Mogilev,52.88599777,28.71586447,97,61,14,0,4.4,3.69,12.3,62.9,14.4,0.0,Glusk,11803,2673,22.6,1952.4
BY006008,Gorki,BY006,Mogilev,54.28144715,30.89325591,175,90,7,0,3.49,3.11,10.02,51.4,4.0,0.0,Gorki,37106,6941,18.7,2102.5
BY006009,Hotimsk,BY006,Mogilev,53.407755,32.56385598,94,60,10,0,4.53,4.72,11.3,63.8,10.6,0.0,Khotimsk,9425,2184,23.2,1895.3
